index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold
0,Beowulf,"Unknown, Seamus Heaney",Novice,3.42,155903,fiction,34160.0,20496.0,4.88,1,HarperCollins Publishers,7000
1,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Intermediate,4.23,145267,fiction,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250
2,Go Set a Watchman,Harper Lee,Novice,3.31,138669,fiction,47795.0,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500
3,When You Are Engulfed in Flames,David Sedaris,Intermediate,4.04,150898,fiction,41250.0,24750.0,7.5,3,Hachette Book Group,5500
4,Daughter of Smoke & Bone,Laini Taylor,Intermediate,4.04,198283,fiction,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750
5,Red Queen,Victoria Aveyard,Intermediate,4.08,83354,fiction,19960.0,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000
6,The Power of Habit,Charles Duhigg,Intermediate,4.03,155977,fiction,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933
7,Midnight in the Garden of Good and Evil,John Berendt,Intermediate,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,Hachette Book Group,3800
8,Hopeless,Colleen Hoover,Intermediate,4.34,189938,fiction,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733
9,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",Intermediate,4.2,199872,fiction,23792.34,14275.404,6.49,10,Random House LLC,3666
10,The Truth About Forever,Sarah Dessen,Intermediate,4.13,179415,fiction,17964.0,0.0,4.99,11,"Amazon Digital Services,  Inc.",3600
11,The horse and his boy,C.S. Lewis,Intermediate,3.9,189671,fiction,21564.0,12938.4,5.99,11,Penguin Group (USA) LLC,3600
12,Last Sacrifice ,Richelle Mead,Famous,4.42,206792,fiction,3431.34,0.0,0.99,13,"Amazon Digital Services,  Inc.",3466
13,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.18,195424,fiction,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466
14,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",Intermediate,4.29,173469,fiction,21797.82,13078.692,6.54,15,Random House LLC,3333
15,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Intermediate,3.76,139411,fiction,16297.34,0.0,4.99,16,"Amazon Digital Services,  Inc.",3266
16,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",Intermediate,3.8,159752,fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200
17,Pretty Little Liars,Sara Shepard,Intermediate,3.9,156328,fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200
18,Corduroy,Don Freeman,Intermediate,4.28,160860,fiction,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133
19,The Omnivore's Dilemma,Michael Pollan,Intermediate,4.17,133271,fiction,3035.34,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066
20,Life After Life,Kate Atkinson,Intermediate,3.74,138454,fiction,11702.67,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933
21,The Rescue,Nicholas Sparks,Intermediate,4.1,142092,fiction,8569.34,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866
