index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,author_rating_score,author_popularity_score,profit_margin,revenue_per_unit,rating_weighted
0,Beowulf,"Unknown, Seamus Heaney",Novice,3.42,155903,fiction,34160.0,20496.0,4.88,1,HarperCollins Publishers,7000,1,3.40314290317789,13664.0,2.928,533188.26
1,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Intermediate,4.23,145267,fiction,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250,2,3.93386798294154,4975.0,1.194,614479.41
2,Go Set a Watchman,Harper Lee,Novice,3.31,138669,fiction,47795.0,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500,1,3.3497930062211214,19118.0,5.214,458994.39
3,When You Are Engulfed in Flames,David Sedaris,Intermediate,4.04,150898,fiction,41250.0,24750.0,7.5,3,Hachette Book Group,5500,2,3.883474544695071,16500.0,4.5,609627.92
4,Daughter of Smoke & Bone,Laini Taylor,Intermediate,4.04,198283,fiction,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750,2,3.930915068552405,15181.0,4.794,801063.3200000001
5,Red Queen,Victoria Aveyard,Intermediate,4.08,83354,fiction,19960.0,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000,2,3.7923726623364242,19960.0,0.0,340084.32
6,The Power of Habit,Charles Duhigg,Intermediate,4.03,155977,fiction,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933,2,3.886225338951071,10996.667999999998,4.194,628587.31
7,Midnight in the Garden of Good and Evil,John Berendt,Intermediate,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,Hachette Book Group,3800,2,3.8601216446090736,10472.8,4.134,655188.2999999999
8,Hopeless,Colleen Hoover,Intermediate,4.34,189938,fiction,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733,2,4.013445658871734,10437.467999999999,4.194,824330.9199999999
9,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",Intermediate,4.2,199872,fiction,23792.34,14275.404,6.49,10,Random House LLC,3666,2,3.9803016524286767,9516.936,3.894,839462.4
